epoch,accuracy,loss,val_accuracy,val_loss
0,0.38444507122039795,1.3155827522277832,0.42939481139183044,1.2762105464935303
1,0.6556878089904785,0.9571249485015869,0.6628242135047913,0.9253726601600647
2,0.793523371219635,0.5754677653312683,0.6916426420211792,0.7761765122413635
3,0.8447273969650269,0.419215589761734,0.6887608170509338,0.7834745049476624
4,0.8796014189720154,0.33608680963516235,0.7089337110519409,0.8247120380401611
5,0.8998062610626221,0.2783091366291046,0.6772334575653076,0.8555536866188049
6,0.9211181998252869,0.22982993721961975,0.6657060384750366,0.8909546136856079
7,0.9338499903678894,0.1948036551475525,0.6887608170509338,0.9757172465324402
8,0.9482424855232239,0.16533531248569489,0.6685879230499268,1.0319010019302368
9,0.9593135714530945,0.14870239794254303,0.7060518860816956,1.0592066049575806
10,0.9642956256866455,0.12439215183258057,0.680115282535553,1.149980068206787
11,0.9690008163452148,0.11131586134433746,0.6570605039596558,1.1775836944580078
12,0.9684472680091858,0.10811293870210648,0.6858789920806885,1.2124906778335571
13,0.971491813659668,0.0962454080581665,0.680115282535553,1.2052839994430542
14,0.971491813659668,0.09382449090480804,0.680115282535553,1.296266794204712
15,0.9709382653236389,0.09136617928743362,0.6628242135047913,1.3066996335983276
16,0.973429262638092,0.08616490662097931,0.6541786789894104,1.3867930173873901
17,0.9748131632804871,0.07914566993713379,0.6657060384750366,1.3740020990371704
18,0.9761970639228821,0.07981642335653305,0.651296854019165,1.4463069438934326
19,0.9748131632804871,0.073197141289711,0.6772334575653076,1.4156533479690552
20,0.9767506122589111,0.06908395141363144,0.6426513195037842,1.469597339630127
21,0.9792416095733643,0.06203429773449898,0.6714697480201721,1.4839063882827759
22,0.9767506122589111,0.06817533075809479,0.6455331444740295,1.5399702787399292
23,0.9775809645652771,0.06548825651407242,0.651296854019165,1.5751535892486572
24,0.9761970639228821,0.059550780802965164,0.6455331444740295,1.5784435272216797
